"Plot","focal","Species","status","heterospecific_density","conspecific_density","quantile","SES_range_overlap","initial_size","first_trait_axis","second_trait_axis"
"4_13",42627,"FRAAME",0,-0.860281215929233,-0.939177021724246,1.01845960037142,0.00205679386157657,-1.1300646695739,1.15135765188855,0.986380914324728
"4_13",42628,"OSTVIR",1,-0.910292367025577,-0.230874222825447,1.02860673337211,0.00995579612207163,-0.229144958602591,1.87914808869575,0.189957649334784
"4_13",42629,"OSTVIR",1,0.479134982916511,-1.09334019194492,1.02860673337211,0.03370148503669,1.17804076154868,1.87914808869575,0.189957649334784
"4_13",42630,"TILAME",1,-0.296064812306093,-0.288308991535759,0.448515641513963,0.0447493555907377,0.267341807980793,2.15673201838104,2.53068159644322
"4_13",42631,"ACESUG",1,0.0228215593614454,1.04858001960066,0.641868949316575,0.0540521389929523,-1.32671163552644,0.84580763438271,0.342546589300262
"4_13",42632,"ACESUG",1,-0.471907810531347,0.785818016759758,0.641868949316575,0.0484533770224561,0.985858047215246,0.84580763438271,0.342546589300262
"4_13",42633,"ACESUG",0,-0.723983709414394,1.31637212453526,0.641868949316575,0.0416138664198963,-0.776532222554004,0.84580763438271,0.342546589300262
"4_13",42634,"ACESUG",1,-0.884253969431188,0.888303783809473,0.641868949316575,0.0354724551402749,0.915983859572543,0.84580763438271,0.342546589300262
"4_13",42635,"ACESUG",1,-1.10357167985149,1.72743121554429,0.641868949316575,0.0328632539096906,-1.06621229766846,0.84580763438271,0.342546589300262
"4_13",42636,"ACESUG",1,-1.15399989909849,0.65524270107487,0.641868949316575,0.0286655301097856,0.0578511234291765,0.84580763438271,0.342546589300262
"4_13",42637,"ACESUG",1,-1.20789348676832,1.22472259344723,0.641868949316575,0.0302816831329281,0.0809784925584935,0.84580763438271,0.342546589300262
"4_13",42638,"ACESUG",1,-1.79933447994281,0.695550948438067,0.641868949316575,0.0162544915665633,0.395189535938238,0.84580763438271,0.342546589300262
"4_13",42639,"ACESUG",1,-1.51187591902502,0.871810718831556,0.641868949316575,0.0260006130307857,0.565378419406776,0.84580763438271,0.342546589300262
"4_13",42640,"ACESUG",0,-1.46782242365024,1.69404252600258,0.641868949316575,0.025099637655742,-0.910919413262422,0.84580763438271,0.342546589300262
"4_13",42641,"ACESUG",1,-1.63986725912274,0.883606480659226,0.641868949316575,0.0191578622499999,-2.10278919541711,0.84580763438271,0.342546589300262
"4_13",42642,"OSTVIR",1,0.52169219004406,-1.40225853450347,1.02860673337211,0.00800252002811724,1.49916181951413,1.87914808869575,0.189957649334784
"4_13",42643,"OSTVIR",1,0.327073326807183,-0.590822587106554,1.02860673337211,0.00159895493923782,-0.944764995014595,1.87914808869575,0.189957649334784
"4_13",42644,"TILAME",1,-0.46798678023738,-0.521718866836925,0.448515641513963,0.0415448656636489,-0.261465501758794,2.15673201838104,2.53068159644322
"4_13",42645,"ACESUG",0,-0.851995701990852,0.876983156089843,0.641868949316575,0.0352662316924027,-0.74123444047298,0.84580763438271,0.342546589300262
"4_13",42646,"FRAAME",0,-0.208090057082817,-1.61242188173817,1.01845960037142,0.0250511339287452,-0.83281314610597,1.15135765188855,0.986380914324728
"4_13",42647,"OSTVIR",1,0.500319002149891,-0.647206365837162,1.02860673337211,0.0180844167327379,-0.336977663405806,1.87914808869575,0.189957649334784
"4_13",42648,"OSTVIR",1,0.132540355646769,-0.724180806977831,1.02860673337211,0.0156440571041933,0.0783397411453697,1.87914808869575,0.189957649334784
"4_13",42649,"OSTVIR",1,0.270473713361386,-0.920497092854901,1.02860673337211,0.0190229194258938,0.534771292845561,1.87914808869575,0.189957649334784
"4_13",42650,"ACESUG",1,-1.22735489729405,0.403921209149829,0.641868949316575,0.0318921473609581,0.862018682242476,0.84580763438271,0.342546589300262
"4_13",42652,"ACESUG",1,-1.18353065777659,1.01030823902827,0.641868949316575,0.032052038459421,-1.2248173278451,0.84580763438271,0.342546589300262
"4_13",42653,"FRAAME",1,-0.181263664740876,-1.32486600959486,1.01845960037142,0.0155633186428135,-1.05595669742018,1.15135765188855,0.986380914324728
"4_13",42654,"ACESUG",1,-1.5382593990012,0.520234765873628,0.641868949316575,0.0206780421542025,0.646984849056495,0.84580763438271,0.342546589300262
